Time,FC,PAS,PAM,PAD
5820,103.842,63.4064,78.1597,34.6832
5850,103.654,67.1577,79.1545,38.0847
5880,103.7,66.8747,78.9646,36.8216
5910,105.552,65.9615,78.0373,35.2366
5940,105.058,68.4187,76.1165,35.0264
5970,103.868,63.47,74.9932,36.7593
6000,103.934,64.5455,78.2458,38.9225
6030,105.502,63.6578,79.3277,33.7299
6060,103.813,63.1943,75.9827,37.9046
6090,103.561,63.2562,80.2104,34.6333
6120,103.488,65.5759,77.7356,36.0657
6150,103.324,70.7512,72.4036,38.004
6180,105.488,64.486,78.2728,36.6491
6210,103.113,61.1229,74.2662,35.7042
6240,107.379,66.6995,79.4964,37.7465
6270,107.026,62.9281,79.484,40.6889
6300,106.213,65.7437,77.2957,38.6814
6330,105.189,63.5419,77.0015,38.8056
6360,103.831,66.8633,79.068,34.8395
6390,101.529,65.6275,76.9865,38.5495
6420,103.507,66.0634,77.6783,35.3596
6450,104.338,65.9818,80.9878,37.6085
6480,105.13,63.8912,77.0873,35.345
6510,103.928,64.7776,78.2687,35.5524
6540,102.986,69.113,77.5191,38.1621
6570,104.792,64.9454,76.3891,36.0108
6600,103.176,64.8825,74.554,38.2187
6630,105.534,68.2081,77.8345,35.9985
6660,103.378,64.4672,73.252,37.3243
6690,104.229,72.8106,79.5196,38.3871
6720,103.779,67.5237,75.4115,39.4595
6750,102.904,66.7627,77.901,36.5845
6780,103.566,61.1212,74.7891,37.3271
6810,103.771,61.4614,78.6086,38.6937
6840,103.062,66.6994,76.1336,36.0363
6870,104.251,73.3755,82.6151,39.4413
6900,106.723,65.6123,75.3751,35.7145
6930,105.971,68.0286,77.7421,35.4913
6960,104.36,66.674,77.7437,35.4299
6990,108.512,62.8647,81.7413,37.1354
7020,109.158,61.2564,76.5869,39.0121
7050,108.116,64.8196,77.3292,36.5645
7080,111.533,68.9861,76.0689,36.7578
7110,109.801,66.8961,77.1197,34.5439
7140,111.112,63.1602,78.0202,35.799
7170,110.939,62.9348,77.4274,35.3
7200,114.822,64.175,78.6908,32.7545
7230,115.323,64.5814,82.7786,36.1387
7260,113.18,64.9985,74.9252,38.3148
7290,115.337,68.5522,79.5254,39.2871
7320,113.766,64.9689,77.4028,37.3738
7350,115.047,66.918,75.693,37.3137
7380,114.558,63.9398,79.0078,35.017
7410,113.664,70.4087,73.3112,36.4346
